Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAnAppointment,Chrome 123.0.0.0,,,10-04-2024 16:58:22,10-04-2024 16:58:30,"8,391s",PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,10-04-2024 16:58:22,10-04-2024 16:58:30,"8,145s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,10-04-2024 16:58:22,10-04-2024 16:58:25,"3,192s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 123.0.0.0,,,10-04-2024 16:58:25,10-04-2024 16:58:26,"0,839s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 123.0.0.0,,,10-04-2024 16:58:26,10-04-2024 16:58:27,"0,836s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 123.0.0.0,,,10-04-2024 16:58:27,10-04-2024 16:58:28,"0,713s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 123.0.0.0,,,10-04-2024 16:58:28,10-04-2024 16:58:28,"0,484s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 123.0.0.0,,,10-04-2024 16:58:28,10-04-2024 16:58:29,"0,489s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 123.0.0.0,,,10-04-2024 16:58:29,10-04-2024 16:58:29,"0,464s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 123.0.0.0,,,10-04-2024 16:58:29,10-04-2024 16:58:30,"0,345s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,10-04-2024 16:58:30,10-04-2024 16:58:30,"0,424s",PASSED
