Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAnAppointment,Windows - Chrome 122.0.0.0,,,11-04-2024 09:45:36,11-04-2024 09:47:35,"1m - 58,690s",PASSED
,,,,,,,
Test Cases/MakeAnAppointment,Windows - Chrome 122.0.0.0,,,11-04-2024 09:45:37,11-04-2024 09:46:23,"46,648s",PASSED
example.MyKeyWords.AppLogin(),Windows - Chrome 122.0.0.0,,,11-04-2024 09:45:37,11-04-2024 09:46:11,"34,135s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:11,11-04-2024 09:46:13,"1,234s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_29""))",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:13,11-04-2024 09:46:14,"1,815s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""rdv"")",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:14,11-04-2024 09:46:17,"3,115s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:17,11-04-2024 09:46:19,"1,750s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_rdv""))",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:19,11-04-2024 09:46:21,"1,333s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Medicare""))",Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:21,11-04-2024 09:46:22,"1,517s",PASSED
closeBrowser(),Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:22,11-04-2024 09:46:23,"1,225s",PASSED
,,,,,,,
Test Cases/Loop,Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:23,11-04-2024 09:47:35,"1m - 11,715s",PASSED
example.MyKeyWords.AppLogin(),Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:24,11-04-2024 09:46:52,"28,653s",PASSED
for (def n : (0..2)),Windows - Chrome 122.0.0.0,,,11-04-2024 09:46:52,11-04-2024 09:47:34,"41,993s",PASSED
closeBrowser(),Windows - Chrome 122.0.0.0,,,11-04-2024 09:47:34,11-04-2024 09:47:35,"0,861s",PASSED
